# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.000     2595.930
       1.005      219.900      271.734    29060.352
       2.010      243.900      443.137    32693.359
       3.014      170.200      551.605    32911.578
       4.019      250.700      633.062    33845.719
       5.026     1246.400     1655.238    33871.727
       6.043     1297.100     4532.578    33871.727
       7.060     1431.300     5703.578    33936.727
       8.083     1492.400     7971.637    33936.727
       9.093     1471.600     9445.547    33936.727
      10.114     1328.500     9642.637    33938.727
      11.129      985.600     9835.949    34202.590
      12.134      427.700     9844.816    34202.590
      13.141      651.600     9876.848    34200.488
