# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.449     2595.930
       1.004      213.100      270.727    29060.352
       2.009      251.900      510.625    32693.359
       3.013      194.100      680.098    32915.578
       4.018      508.700      918.793    33867.559
       5.025     1438.000     3207.785    33869.727
       6.058     1462.700     5757.070    33869.727
       7.078     1417.600     7609.090    33934.727
       8.103     1504.600     9333.207    33934.727
       9.112     1471.600     9546.680    33934.727
      10.133     1404.200     9794.062    33940.590
      11.142     1408.700     9908.098    34200.590
      12.164     1491.800    10102.980    34200.590
      13.186     1445.900    10264.941    34200.590
      14.202     1433.800    10609.840    34200.590
      15.222     1472.500    10772.480    34200.590
      16.238     1464.700    10874.133    34265.590
      17.259     1411.000    11120.141    34265.590
      18.282     1505.700    11176.703    34265.590
      19.298     1430.900    11460.086    34395.590
      20.319     1410.200    11773.164    34395.590
      21.338     1316.200    12170.227    34395.590
      22.345     1477.300    12236.668    34395.590
      23.368     1421.800    12542.758    34395.590
      24.385     1501.100    12542.758    34395.590
      25.401     1451.000    12894.688    34395.590
      26.426     1353.900    13019.812    34395.590
      27.432     1407.100    13387.113    34395.590
      28.438     1518.900    13389.605    34395.590
      29.464     1361.100    13734.605    34395.590
      30.476     1370.500    13729.395    34395.590
      31.488      775.700    14015.219    34407.488
      32.515     1355.400    14028.086    35252.488
