# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.445     2595.930
       1.004      212.000      270.770    29060.352
       2.010      250.700      500.074    32825.359
       3.015      200.000      657.176    32913.578
       4.021      339.900      751.125    32937.727
       5.028     1158.600     2029.867    34893.727
       6.044     1543.500     3172.457    34893.727
       7.061     1457.400     3776.301    34958.727
       8.077     1458.300     4477.816    34958.727
       9.095     1533.500     4972.723    35153.727
      10.110     1465.200     5331.672    35153.727
      11.125     1503.800     5358.172    35153.727
      12.141     1506.900     5733.660    35153.727
      13.158     1534.200     6197.855    35153.727
      14.165     1506.200     6549.996    35153.727
      15.181     1508.900     6863.309    35153.727
      16.198     1505.900     6867.809    35153.727
      17.215     1487.300     7298.512    35218.727
      18.245     1562.800     7611.352    35218.727
      19.261     1059.500     7633.852    35286.727
      20.278     1428.200     8001.684    35309.727
      21.293     1456.100     8287.309    35309.727
      22.312     1487.400     8546.332    35309.727
      23.326     1545.900     8879.457    35309.727
      24.341     1483.500     8941.582    35309.727
      25.360     1479.400     9029.066    35309.727
      26.378     1508.300     9048.242    35309.727
      27.393     1559.500     9113.992    35309.727
      28.415     1517.300     9133.992    35309.727
      29.430     1511.400     9134.242    35309.727
      30.445     1499.500     9148.617    35309.727
      31.463     1443.400     9156.492    35309.727
      32.478     1566.700     9157.242    35309.727
