# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       48.246     3575.258
       1.005      218.000      279.301    29062.352
       2.010      244.800      504.711    32695.359
       3.014      165.300      620.891    32911.578
       4.021      268.200      721.625    33845.719
       5.031     1191.100     2097.820    33869.727
       6.052     1357.200     5273.238    33869.727
       7.057     1342.900     7022.234    33934.727
       8.081     1556.100     8895.926    33934.727
       9.108     1418.600     9358.250    33934.727
      10.135     1379.500     9761.930    33934.727
      11.141      805.600     9878.898    34196.727
      12.146      311.500     9889.113    34328.727
      13.151      990.700    10212.305    35179.727
      14.157     1292.500    11076.477    35179.727
      15.162      856.300    11093.629    35346.590
