# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.477     2595.930
       1.005      209.000      264.945    29060.352
       2.009      248.900      431.422    32693.359
       3.014      199.100      542.297    32913.578
       4.019      321.500      639.020    32937.727
       5.024     1354.900     1987.391    34241.727
       6.041     1560.900     3475.070    34241.727
       7.055     1183.100     4516.727    35293.727
       8.069     1471.000     5042.918    35293.727
       9.084     1116.700     5815.211    35295.727
      10.091     1532.600     6409.195    35300.727
      11.106     1459.000     8032.008    35300.727
      12.124     1254.700     8052.566    35307.727
