# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.746     2595.930
       1.004      217.000      267.762    29060.352
       2.010      245.700      500.859    32693.359
       3.015      199.900      652.758    32913.578
       4.021      311.400      723.160    33065.727
       5.026      917.600     1597.871    35295.727
       6.041     1544.500     2627.750    35295.727
       7.049     1396.600     3159.301    35299.758
       8.056      379.300     3547.383    35312.727
       9.063     1328.900     4157.172    35313.727
      10.078     1551.500     4539.207    35313.727
      11.093     1236.200     5357.402    35340.727
      12.103     1275.800     6374.801    35349.727
      13.120     1380.000     6550.832    35354.395
      14.134     1281.100     7034.887    35354.395
