# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.148     2595.930
       1.004      212.100      269.906    29060.352
       2.009      248.900      430.695    32693.359
       3.013      194.100      545.949    32913.578
       4.018      360.300      681.762    33853.719
       5.024     1404.600     1502.102    34123.727
       6.031     1075.300     2213.613    34127.727
       7.038     1533.700     3033.887    34517.727
       8.053     1096.500     3856.684    34517.727
       9.061      913.500     4234.703    34647.727
      10.074     1248.800     5542.871    35302.953
      11.088     1329.800     5541.164    35302.953
      12.104     1299.600     6563.004    35302.953
