# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       34.898     2595.930
       1.004      217.100      271.492    29060.352
       2.009      245.800      440.867    32825.359
       3.078      190.800      548.773    32917.578
       4.083      732.600      783.727    33869.727
       5.093     1309.100     2266.613    33871.727
       6.119     1522.900     5028.891    33871.727
       7.151     1416.100     6186.324    33936.727
       8.179     1526.800     8371.609    33936.727
       9.196     1413.000     9152.211    33936.727
      10.219     1461.100     9310.703    33936.727
      11.241     1465.500     9511.691    33936.727
      12.246     1540.200     9616.168    33936.727
      13.276     1358.500    10018.715    33936.727
      14.299     1190.400    10137.391    34196.727
      15.306      310.000    10148.207    34196.727
      16.315     1174.400    10150.816    35313.727
      17.323     1169.400    10245.449    35389.727
      18.333     1136.700    10262.699    35491.727
      19.345     1100.200    10266.074    35491.727
      20.353      998.200    10807.609    35495.727
      21.373      362.200    10492.184    35495.727
      22.389     1570.800    10490.762    35495.727
      23.410     1462.600    10485.004    35495.727
      24.430     1471.100    10475.801    35495.727
      25.450     1238.000    10473.996    35495.727
