# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.984     2595.930
       1.005      209.900      271.664    29060.352
       2.010      247.800      432.320    32695.359
       3.015      199.000      544.246    32913.578
       4.020      340.400      650.254    32937.727
       5.027     1162.500     1932.996    34893.727
       6.042     1521.700     3031.555    34893.727
       7.050     1458.800     3678.988    34958.727
       8.057     1488.900     3947.953    34958.727
       9.075     1516.900     4275.008    35155.727
      10.090     1465.700     4658.234    35155.727
      11.107     1504.200     4895.914    35155.727
      12.122     1508.100     4903.914    35155.727
      13.141     1146.500     5205.516    35220.727
      14.148      243.400     5210.512    35290.727
      15.153     1352.500     5648.023    35295.727
      16.170     1464.500     6315.809    35305.727
      17.185     1455.200     6333.914    35309.727
      18.204     1498.100     6564.789    35309.727
      19.221     1567.300     6728.980    35309.727
      20.239     1483.300     6814.316    35309.727
      21.258     1514.700     6814.316    35309.727
      22.273     1487.100     7012.258    35309.727
      23.292      890.400     7074.008    35309.727
      24.297      277.600     7083.172    35320.727
