# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.945     2595.930
       1.004      211.100      268.836    29060.352
       2.009      249.800      503.785    32693.359
       3.014      200.900      660.711    32913.578
       4.019      319.700      761.602    32941.340
       5.025     1436.000     2352.676    33916.727
       6.042     1550.500     4042.715    33916.727
       7.052     1457.900     5274.641    34956.727
       8.065     1116.400     5469.676    35291.727
       9.082     1561.000     5971.031    35291.727
      10.097     1492.700     6953.809    35291.727
      11.116     1490.300     7465.125    35291.727
      12.129     1128.100     7552.902    35296.727
      13.143     1390.100     7952.586    35296.727
      14.162     1585.900     8316.062    35296.727
      15.182     1494.100     8712.758    35296.727
      16.197     1184.100     8763.605    35302.727
