# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.305     2595.930
       1.004      214.100      269.359    29060.352
       2.010      247.600      442.500    32695.359
       3.014      187.200      561.676    32915.578
       4.018      485.000      770.770    33867.551
       5.025     1371.400     2743.070    33869.727
       6.043     1448.700     5244.613    33869.727
       7.073     1356.000     6755.156    33934.727
       8.100     1538.800     9335.820    33934.727
       9.113     1474.300     9531.852    33934.727
      10.140     1366.600     9901.730    33934.727
      11.160     1501.800     9974.820    34196.727
      12.181     1441.600    10228.027    34196.727
      13.201     1400.800    10364.629    34196.727
      14.227     1432.000    10857.789    34196.727
      15.254     1546.100    11000.539    34196.727
      16.274     1303.800    11343.418    34196.727
      17.286     1402.700    11627.082    34391.727
      18.316     1530.100    11693.555    34391.727
      19.338     1449.900    11956.695    34391.727
      20.366     1440.900    12311.551    34391.727
      21.386     1411.000    12311.648    34391.727
      22.390      703.700    12492.148    34391.727
      23.395      496.500    12632.273    34391.727
      24.403     1178.200    12861.930    34594.727
      25.426     1264.400    13566.520    35248.590
      26.431     1333.400    14200.938    35248.590
      27.443     1300.300    14914.129    35248.590
      28.472     1370.000    15969.324    35248.590
      29.485     1154.700    16267.273    35335.590
      30.500     1157.500    16431.371    35470.590
