# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.734     2595.930
       1.004      208.100      266.105    29060.352
       2.009      252.800      436.047    32693.359
       3.014      190.000      541.266    32847.578
       4.019      296.600      631.305    32935.727
       5.025      951.600     1902.301    34893.727
       6.035     1506.100     2769.648    34893.727
       7.050     1456.800     3411.027    34958.727
       8.064      922.700     3457.805    35304.727
       9.082     1538.100     4486.434    35304.727
      10.104     1467.800     4903.312    35304.727
      11.115     1072.000     5191.289    35261.727
