# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.160     2595.930
       1.004      209.100      270.793    29060.352
       2.009      250.800      511.500    32693.359
       3.013      189.200      676.887    32915.578
       4.018      511.700      887.559    33867.727
       5.028     1424.700     3257.883    33871.727
       6.061     1463.400     5609.008    33871.727
       7.084     1430.700     8062.695    33936.727
       8.106     1483.500     9190.539    33936.727
       9.118     1484.100     9472.688    33936.727
      10.139     1392.700     9716.234    34200.590
      11.148     1437.900     9834.613    34200.590
      12.171     1485.400    10075.496    34200.590
      13.191     1464.900    10255.672    34332.590
      14.214     1442.200    10607.703    34332.590
      15.230     1501.900    10602.008    34332.590
      16.238     1315.400    11199.328    34332.590
      17.260     1439.400    11318.645    34332.590
      18.286     1454.300    11688.039    34332.590
      19.294     1524.700    11640.488    34332.590
      20.321     1352.600    12078.348    34332.590
      21.342     1421.600    12200.191    34332.590
      22.353      943.900    12200.566    34332.590
      23.362      885.100    12433.809    34332.590
      24.371      817.800    12697.262    34342.488
      25.377     1209.300    12712.484    34602.488
