# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.980     2595.930
       1.004      216.100      270.199    29062.352
       2.009      246.800      435.090    32825.359
       3.013      200.100      540.578    32913.578
       4.021      517.700      757.531    33859.727
       5.031     1274.700     2742.453    33861.727
       6.045     1440.900     3394.629    33861.727
       7.055     1005.600     3838.652    35297.727
       8.071     1477.400     4163.949    35297.727
