# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.469     2595.930
       1.004      219.100      272.922    29060.352
       2.009      250.800      437.621    32825.359
       3.014      187.100      549.598    32915.578
       4.019      630.000      756.875    33871.844
       5.025     1474.200     2953.039    33869.727
       6.042     1410.800     4687.285    33869.727
       7.079     1429.200     6919.234    33934.727
       8.113     1513.700     9012.961    33934.727
       9.122     1400.700     9383.039    33934.727
      10.143     1462.800     9550.059    33934.727
      11.163     1450.000     9748.664    33934.727
      12.182     1558.300     9756.949    33934.727
      13.202     1446.100     9947.250    33934.727
      14.222     1420.500    10050.477    34261.727
      15.240     1352.300    10282.977    34391.727
      16.246     1512.300    10254.352    34391.727
      17.266     1439.000    10451.863    34391.727
      18.286     1450.400    10648.566    34391.727
      19.312     1568.300    10648.566    34391.727
      20.341     1335.000    10904.625    34391.727
      21.364     1462.000    11004.492    34391.727
      22.384     1542.500    11004.992    34391.727
      23.407     1421.400    11198.301    34391.727
      24.423      912.900    11360.328    34391.727
      25.428      402.200    11393.070    34391.727
      26.439      628.800    11433.156    34586.727
      27.453     1094.200    11472.242    35334.727
      28.460     1337.300    11476.117    35334.727
      29.466     1267.900    11494.406    35381.727
      30.472     1231.600    11507.031    35491.727
      31.479     1225.000    11509.281    35491.727
      32.485     1332.300    11519.781    35491.727
      33.495     1195.400    11520.656    35491.727
      34.509      916.800    11528.500    35493.727
      35.529     1438.800    11588.176    35493.727
      36.555     1537.800    11557.922    35493.727
      37.572     1461.800    11502.898    35493.727
      38.592     1478.000    11482.320    35493.727
      39.612     1446.000    11433.105    35493.727
      40.618     1545.200    11418.055    35493.727
      41.635     1479.400    11399.703    35493.727
      42.688     1466.700    11393.117    35493.727
      43.709      634.100    11393.117    35493.727
