# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.461     2595.930
       1.004      215.000      269.172    29060.352
       2.009      247.800      503.398    32693.359
       3.014      200.000      664.930    32848.578
       4.019      308.500      732.719    33065.727
       5.024      935.300     1651.395    35295.727
       6.031     1544.800     2776.164    35295.727
       7.046     1533.500     3419.895    35296.727
       8.061     1554.200     4021.867    35296.727
       9.076     1430.700     5014.418    35299.727
      10.106      347.700     5231.730    35300.727
      11.115      450.400     5735.664    35313.727
      12.136     1513.600     6729.363    35313.727
      13.151     1529.700     7363.020    35313.727
      14.170     1523.900     8214.316    35313.727
      15.188     1439.100     8891.637    35315.535
      16.198     1355.000     8897.562    35315.727
      17.215     1293.400    11990.570    35349.727
      18.229     1493.300    11993.465    35349.727
      19.235     1428.100    11997.949    35355.285
      20.251     1275.700    12394.055    35355.285
      21.266     1373.500    12401.020    35355.285
      22.273      381.600    12379.008    35355.285
      23.277      210.100    12379.133    35355.285
