# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.001        0.000       46.629     3575.633
       1.006      225.900      269.535    29062.352
       2.010      248.900      434.996    32825.359
       3.015      202.000      540.738    32913.578
       4.019      254.900      620.980    32935.727
       5.026     1195.300     1541.344    34243.727
       6.045     1190.000     2802.082    34507.727
       7.059     1228.300     4167.848    35300.727
       8.079     1125.300     4586.609    35308.727
