# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.672     2595.930
       1.004      206.100      266.855    29060.352
       2.009      249.800      436.609    32693.359
       3.022      196.400      547.348    32915.578
       4.027      501.800      721.160    33865.727
       5.035     1227.300     1473.574    34129.727
       6.051     1476.300     2416.789    34454.727
       7.067     1192.600     2733.668    34584.727
       8.072     1254.000     4652.328    34651.727
       9.077     1460.800     4655.254    35302.508
