# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.191     2595.930
       1.004      214.100      265.547    29060.352
       2.009      253.900      501.453    32693.359
       3.013      194.100      650.969    32848.578
       4.018      459.700      867.184    33861.727
       5.027     1087.200     1559.145    34452.727
       6.041     1342.500     2180.051    34519.727
       7.048     1123.300     4136.309    34913.727
       8.054     1046.400     4309.820    35297.750
