# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.578     2595.930
       1.005      214.000      267.723    29060.352
       2.009      249.800      503.078    32693.359
       3.014      198.100      659.523    32913.578
       4.018      169.200      702.953    32927.719
       5.024     1239.400     1413.617    34119.727
       6.037     1186.600     1893.781    34188.727
       7.044     1444.600     2781.938    34253.727
       8.059     1308.100     2800.664    34578.727
       9.074     1564.600     2800.914    34578.727
      10.089     1258.300     2945.820    34578.727
      11.099     1044.300     3120.164    34710.727
      12.104     1308.700     4422.039    35299.285
      13.123     1254.900     4930.270    35299.285
      14.141     1408.000     4986.469    35299.285
      15.158     1350.500     5062.488    35301.285
      16.173      763.800     5459.762    35289.078
