# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.668     3571.008
       1.004      216.100      272.637    29060.352
       2.009      253.900      439.070    32825.359
       3.013      182.200      545.609    32915.578
       4.018      491.600      757.730    33865.719
       5.026     1207.500     2170.078    33869.727
       6.040     1436.600     5027.809    33869.727
       7.059     1422.700     6361.445    33934.727
       8.093     1498.600     7625.078    33934.727
       9.115     1459.200     9383.367    33934.727
      10.139     1407.300     9804.504    33934.727
      11.159     1518.300     9831.367    34194.727
      12.182     1380.800    10166.395    34194.727
      13.206     1435.500    10515.332    34326.727
      14.234     1407.800    10734.777    34326.727
      15.242     1537.500    10872.434    34326.727
      16.270     1412.200    11069.449    34326.727
      17.281     1481.400    11279.512    34326.727
      18.309     1453.100    11585.609    34326.727
      19.332     1450.200    11767.625    34326.727
      20.354     1455.300    12135.000    34326.727
      21.366     1549.200    12145.688    34326.727
      22.382     1397.400    12418.414    34326.727
      23.405     1451.800    12661.102    34326.727
      24.412     1359.800    12905.797    34326.727
      25.439     1437.000    13327.773    34326.727
      26.469     1515.000    13299.371    34326.727
      27.489     1420.500    13674.723    34326.727
      28.512     1389.400    13981.715    34326.727
      29.549     1467.500    14024.266    34326.727
      30.562     1445.700    14305.520    34326.727
      31.584     1416.300    14670.473    34326.727
      32.591     1518.300    14678.598    34326.727
      33.605     1196.300    14955.184    34326.727
      34.613      716.600    15176.324    34326.727
      35.619      478.100    15207.402    34332.727
      36.626     1244.000    15326.133    34334.727
      37.642     1321.500    15343.426    35248.590
      38.684     1284.100    16867.277    35248.590
      39.690     1348.700    16941.363    35248.590
      40.696     1319.900    17979.805    35248.590
      41.726     1398.000    18743.465    35248.590
      42.766     1274.900    19660.512    35248.590
      43.789     1313.700    20848.719    35248.590
      44.806     1102.800    20978.469    35317.590
      45.823     1214.600    21004.844    35334.590
      46.829     1302.600    21035.594    35429.590
      47.843      912.200    21028.137    35284.590
