# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.035     2595.930
       1.004      216.100      271.586    29060.352
       2.010      249.600      431.672    32825.359
       3.015      189.100      547.621    32915.578
       4.019      539.600      737.301    33867.727
       5.026     1437.700     2728.996    33869.727
       6.041     1462.500     5119.285    33869.727
       7.061     1419.500     6500.086    33934.727
       8.087     1494.400     7713.285    33934.727
       9.108     1452.600     9483.277    33934.727
      10.137     1400.500     9677.242    33940.590
      11.144     1449.100     9823.090    34200.590
      12.164     1397.900    10254.398    34200.590
      13.181     1440.800    10607.402    34200.590
      14.206     1443.900    10820.188    34330.590
      15.224     1531.300    10902.445    34330.590
      16.239     1107.400    11157.820    34330.590
      17.254      670.400    11298.191    34330.590
      18.261      621.900    11388.617    34330.590
