# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.621     2595.930
       1.004      211.100      265.242    29060.352
       2.009      248.800      430.758    32693.359
       3.014      203.900      543.039    32913.578
       4.020      284.400      622.754    33067.559
       5.027      939.600     1398.938    35285.727
       6.042     1449.700     2501.766    35295.727
       7.057     1488.100     3345.008    35296.727
       8.067     1532.800     3721.246    35296.727
       9.082     1568.200     4086.848    35296.727
      10.101     1429.500     4709.027    35299.848
      11.109     1011.000     5122.758    35305.727
      12.114      212.900     5292.914    35310.727
      13.120      753.200     5506.254    35313.727
      14.144     1553.600     5919.113    35337.727
      15.159     1478.500     6021.258    35337.727
      16.177     1563.000     6026.238    35339.727
      17.187     1551.100     6397.090    35339.727
      18.204     1504.000     6874.438    35339.727
      19.220     1253.200     7095.039    35340.727
      20.237     1239.300    10624.625    35349.727
      21.245     1553.200    10625.000    35349.727
      22.274     1410.300    10637.625    35353.172
      23.289     1311.900    10830.359    35353.172
      24.303     1391.000    10835.031    35353.172
      25.311      715.300    10835.629    35353.172
      26.316      651.100    11323.570    35354.172
