# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.164     2595.930
       1.004      208.100      268.629    29060.352
       2.009      254.800      434.602    32693.359
       3.014      188.100      546.652    32913.578
       4.018      574.400      750.438    33869.418
       5.026     1453.700     2372.699    33871.727
       6.047     1535.100     4961.668    33871.727
       7.076     1421.400     6451.082    33936.727
       8.098     1534.500     8952.371    33936.727
       9.121     1383.100     9346.270    33936.727
      10.133     1449.600     9563.473    33936.727
      11.154     1472.900     9768.621    33936.727
      12.160     1553.600     9756.652    33936.727
      13.173     1443.800     9963.836    33936.727
      14.194     1415.900    10059.797    34261.727
      15.206     1447.800    10066.547    34261.727
      16.227     1433.500    10272.465    34261.727
      17.244     1460.700    10468.566    34261.727
      18.253     1517.400    10475.066    34261.727
      19.260     1505.100    10664.074    34261.727
      20.280     1345.000    10910.242    34261.727
      21.307     1446.600    11017.641    34391.727
      22.320     1530.800    11018.262    34391.727
      23.340     1400.300    11211.883    34391.727
      24.357     1387.100    11382.715    34391.727
      25.370     1546.000    11382.715    34391.727
      26.390     1400.500    11577.207    34391.727
      27.410     1432.500    11773.969    34391.727
      28.416     1549.000    11773.969    34391.727
      29.437     1340.000    11961.875    34391.727
      30.457     1320.900    12143.766    34391.727
      31.466     1534.500    12147.516    34391.727
      32.487     1378.600    12341.512    34391.727
      33.508     1504.400    12347.137    34391.727
      34.514     1140.800    12536.250    34391.727
      35.519      565.200    12655.039    34391.727
      36.525      463.400    12687.129    34391.727
      37.533      827.000    12735.844    34588.727
      38.547     1328.800    12790.484    35312.727
      39.554     1259.100    12798.734    35334.727
      40.600     1159.800    12780.410    35351.727
      41.614     1325.300    12797.113    35371.727
      42.620     1361.000    12811.238    35468.727
      43.630     1224.700    12813.863    35492.727
      44.643     1331.200    12814.363    35492.727
      45.653     1254.700    12814.613    35492.727
      46.670     1276.900    12810.367    35492.727
      47.676     1394.300    12812.242    35492.727
      48.691     1264.700    12798.840    35492.727
      49.705      893.100    11408.527    35496.727
      50.713     1460.400    11410.195    35496.727
      51.734     1468.800    11369.418    35496.727
      52.754     1460.100    11367.508    35496.727
      53.776     1545.900    11367.633    35496.727
      54.786     1437.300    11368.133    35496.727
      55.807     1445.300    11368.258    35496.727
      56.827     1471.100    11368.258    35496.727
      57.847     1551.000    11368.383    35496.727
      58.867     1492.800    11388.730    35496.727
      59.890     1470.300    11404.734    35496.727
      60.910     1481.600    11378.336    35496.727
      61.950     1550.900    11380.359    35496.727
      62.974      881.000    11382.359    35496.727
