# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.395     2595.930
       1.005      195.100      261.500    29058.352
       2.009      234.900      419.656    32693.359
       3.014      216.000      538.527    32909.578
       4.018      236.900      609.109    32933.727
       5.024      781.700     1569.715    34893.727
       6.032     1542.900     2694.297    34893.727
       7.046     1462.000     3286.141    34958.727
       8.062     1484.700     3516.508    34958.727
       9.076     1403.800     3818.645    35155.727
      10.092     1465.200     4111.758    35155.727
      11.108     1488.300     4276.262    35155.727
      12.125     1496.100     4290.262    35155.727
      13.140     1503.000     4544.105    35285.727
      14.148     1498.900     4809.449    35285.727
      15.164     1493.400     4933.145    35285.727
      16.180     1504.600     4941.180    35285.727
      17.199      836.100     5178.246    35306.727
      18.215     1560.700     5368.043    35306.727
      19.232     1497.000     5507.039    35306.727
      20.248     1478.400     5684.113    35306.727
      21.265     1496.000     5697.988    35307.727
      22.281     1472.400     5980.777    35307.727
      23.292     1558.400     6171.066    35307.727
      24.308     1481.300     6387.664    35307.727
      25.325     1480.300     6414.867    35307.727
      26.342     1482.300     6691.320    35307.727
      27.357     1556.200     6865.543    35307.727
      28.376     1515.000     7011.355    35307.727
