# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       34.793     2595.930
       1.004      209.100      267.809    29060.352
       2.009      252.800      435.441    32693.359
       3.015      190.000      545.977    32915.578
       4.019      595.200      750.012    33869.727
       5.026     1341.100     2405.352    33869.727
       6.049     1479.400     4656.719    33869.727
       7.072     1427.500     6720.117    33934.727
       8.096     1531.900     8936.758    33934.727
       9.112     1382.200     9320.215    33934.727
      10.122     1472.000     9521.238    33934.727
      11.146     1454.400     9721.633    33934.727
      12.168     1557.700     9723.926    33934.727
      13.188     1470.600     9918.230    33934.727
      14.197     1421.300    10035.898    34194.727
      15.210     1424.200    10051.605    34194.727
      16.219     1473.100    10255.227    34194.727
      17.239     1456.000    10454.820    34324.727
      18.260     1427.600    10640.223    34324.727
      19.266     1554.300    10640.473    34324.727
      20.289     1369.900    10873.238    34324.727
      21.309     1451.200    11001.035    34324.727
      22.330     1545.900    11001.285    34324.727
      23.349     1431.500    11195.859    34324.727
      24.369     1389.800    11379.102    34324.727
      25.379     1543.100    11374.371    34326.727
      26.395     1434.100    11560.867    34326.727
      27.411     1397.800    11754.840    34326.727
      28.427     1549.100    11755.090    34326.727
      29.447     1349.700    11878.812    34326.727
      30.454     1413.000    12063.699    34326.727
      31.469     1521.300    12119.699    34326.727
      32.479     1395.500    12313.422    34326.727
      33.496     1489.300    12320.422    34326.727
      34.502     1492.800    12506.988    34326.727
      35.522     1382.400    12691.164    34326.727
      36.538     1536.200    12704.789    34326.727
      37.552     1383.800    12894.953    34326.727
      38.569     1427.400    13088.793    34326.727
      39.576     1507.800    13088.918    34326.727
      40.592     1407.800    13154.379    34326.727
      41.597     1361.200    13160.504    34326.727
      42.602     1487.300    13415.551    34326.727
      43.619     1412.500    13605.742    34326.727
      44.629     1515.000    13610.742    34326.727
      45.639     1400.800    13801.312    34326.727
      46.656     1372.300    13989.664    34326.727
      47.666     1506.700    13990.164    34326.727
      48.686     1335.000    14185.625    34326.727
      49.714     1550.900    14185.750    34326.727
      50.734     1430.600    14380.250    34326.727
      51.756     1368.600    14577.828    34326.727
      52.779     1552.600    14577.828    34326.727
      53.798     1329.700    14680.891    34326.727
      54.804     1364.900    14899.414    34326.727
      55.811     1530.300    14916.414    34326.727
      56.832     1318.400    15113.289    34326.727
      57.841      591.900    15208.531    34326.727
      58.846      555.900    15208.531    34326.727
      59.853      619.000    15260.406    34326.727
      60.858      733.000    15270.156    34586.727
      61.866     1258.800    15332.656    35305.727
      62.876     1263.400    15337.656    35317.727
      63.882     1032.900    15343.656    35344.727
      64.889     1406.200    15345.281    35344.727
      65.895     1249.400    15345.406    35344.727
      66.909     1263.000    15354.781    35349.727
      67.932     1201.700    15360.281    35401.727
      68.954      939.800    15377.445    35419.727
      69.959     1426.200    15405.961    35466.727
      70.982     1402.500    15401.590    35466.727
      71.999     1408.600    15397.285    35466.727
      73.019     1547.600    15389.031    35466.727
      74.040     1458.300    15379.922    35466.727
      75.052     1419.000    15378.672    35466.727
      76.069     1475.500    15378.672    35466.727
      77.089     1448.400    15378.672    35466.727
      78.096     1496.600    15378.797    35466.727
      79.112     1427.100    15379.422    35466.727
      80.129     1453.700    15379.547    35466.727
      81.145     1540.700    15379.547    35466.727
      82.172     1492.000    15379.547    35466.727
      83.192     1454.900    15387.824    35466.727
      84.209     1442.400    15399.984    35466.727
      85.228     1329.700    15399.984    35466.727
      86.239     1553.800    15402.098    35466.727
      87.259     1442.200    15420.273    35466.727
      88.279     1463.700    15420.523    35466.727
      89.295     1451.300    15420.523    35466.727
      90.302     1562.000    15420.523    35466.727
      91.319     1377.500    15420.523    35466.727
      92.327      392.600    15420.523    35466.727
