# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.859     2595.930
       1.004      214.100      269.922    29060.352
       2.009      249.700      432.734    32693.359
       3.014      199.100      541.992    32848.578
       4.019      474.500      710.801    33859.727
       5.029     1264.200     2840.316    33861.727
       6.042     1240.900     3423.332    34188.727
       7.052     1240.200     3742.145    35297.727
