# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.387     2595.930
       1.004      209.100      268.141    29060.352
       2.009      251.800      430.059    32693.359
       3.014      202.000      541.707    32913.578
       4.019      320.400      633.488    33065.727
       5.025      989.800     1464.555    35285.727
       6.042     1414.700     2156.910    35298.727
       7.049      638.700     2972.070    35312.727
       8.055     1245.900     3681.680    35337.727
       9.072     1353.500     5092.543    35340.727
      10.086     1328.700     6318.594    35355.840
