# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.082     2595.930
       1.004      216.000      269.215    29060.352
       2.009      250.800      505.805    32693.359
       3.014      188.100      661.238    32915.578
       4.019      512.400      879.430    33861.551
       5.026     1296.300     2399.648    33867.727
       6.046     1448.500     5356.465    33867.727
       7.079     1416.400     7020.105    33932.727
       8.108     1484.800     8999.648    33932.727
       9.136     1486.000     9489.125    33932.727
      10.166     1424.400     9848.434    33934.727
      11.187     1427.900    10026.387    34194.727
      12.196     1400.600    10384.062    34194.727
      13.227     1441.500    10690.395    34194.727
      14.254     1504.900    10690.895    34324.727
      15.286     1436.400    11047.840    34324.727
      16.316     1413.400    11304.285    34324.727
      17.339     1437.400    11313.801    34324.727
      18.360     1432.900    11616.535    34324.727
      19.386     1446.500    11996.434    34324.727
      20.409     1542.300    11963.688    34324.727
      21.443     1359.900    12292.082    34324.727
      22.466     1412.400    12578.660    34324.727
      23.493     1552.200    12578.910    34324.727
      24.516     1396.300    12952.801    34324.727
      25.539     1429.100    13067.723    34324.727
      26.596     1396.400    13411.184    34324.727
      27.617     1421.800    13691.441    34324.727
      28.628      821.300    13828.180    34324.727
      29.634      504.000    13836.680    34324.727
      30.643      952.000    13994.902    35242.727
      31.685     1397.600    14812.730    35246.590
      32.690     1307.700    14835.230    35246.590
      33.695     1360.800    16378.016    35246.590
      34.703     1319.500    16432.680    35248.590
      35.740     1291.700    17559.605    35248.590
      36.777     1351.500    17380.668    35248.590
      37.786     1172.900    18179.457    35337.590
      38.799     1225.200    18203.332    35362.590
      39.807     1284.700    18226.582    35471.590
