# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.715     2595.930
       1.004      207.100      265.207    29060.352
       2.009      248.800      499.512    32693.359
       3.013      193.200      623.223    32913.578
       4.021      327.400      740.609    32937.727
       5.026     1418.400     2341.902    34241.727
       6.046     1261.900     3577.648    34505.727
       7.064     1456.000     5090.414    35293.727
       8.078     1035.300     5523.453    35300.727
       9.093     1576.800     6577.543    35300.727
